Name,Description,Price,Image,Category,Engine size,Make,Stroke,Size,Brand,Gender
Honda 125cc 4 Stroke TC Dirt Bike (DB-0014),Well-Maintained Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4670.98,https://picsum.photos/seed/mg14/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
KTM 125cc 2 Stroke CRF Dirt Bike (DB-0015),Trail-Tuned KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3416.05,https://picsum.photos/seed/mg15/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 125cc 2 Stroke TC Dirt Bike (DB-0016),Well-Maintained KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6074.33,https://picsum.photos/seed/mg16/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 250cc 2 Stroke SX Dirt Bike (DB-0017),Agile KTM 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7110.59,https://picsum.photos/seed/mg17/800/800,Dirt Bikes,250cc,KTM,2 Stroke,,,
Honda 250cc 4 Stroke TC Dirt Bike (DB-0018),Freshly-Serviced Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5221.34,https://picsum.photos/seed/mg18/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
Honda 250cc 2 Stroke RM Dirt Bike (DB-0019),Lightweight Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3416.04,https://picsum.photos/seed/mg19/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
Honda 125cc 4 Stroke TE Dirt Bike (DB-0020),Race-Ready Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3170.21,https://picsum.photos/seed/mg20/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
KTM 250cc 2 Stroke CRF Dirt Bike (DB-0021),Lightweight KTM 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7767.06,https://picsum.photos/seed/mg21/800/800,Dirt Bikes,250cc,KTM,2 Stroke,,,
Honda 125cc 4 Stroke SX Dirt Bike (DB-0022),Freshly-Serviced Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3269.35,https://picsum.photos/seed/mg22/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
Honda 250cc 4 Stroke TC Dirt Bike (DB-0023),Lightweight Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,8072.48,https://picsum.photos/seed/mg23/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
KTM 125cc 4 Stroke KX Dirt Bike (DB-0024),Track-Prepped KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7896.68,https://picsum.photos/seed/mg24/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
Honda 250cc 2 Stroke YZ Dirt Bike (DB-0025),Trail-Tuned Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4527.51,https://picsum.photos/seed/mg25/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
Honda 125cc 2 Stroke SX Dirt Bike (DB-0026),Race-Ready Honda 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3872.65,https://picsum.photos/seed/mg26/800/800,Dirt Bikes,125cc,Honda,2 Stroke,,,
KTM 125cc 2 Stroke YZ Dirt Bike (DB-0027),Agile KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6512.87,https://picsum.photos/seed/mg27/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
Honda 125cc 4 Stroke YZ Dirt Bike (DB-0028),Track-Prepped Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7343.98,https://picsum.photos/seed/mg28/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
Honda 125cc 2 Stroke TC Dirt Bike (DB-0029),Powerful Honda 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5040.47,https://picsum.photos/seed/mg29/800/800,Dirt Bikes,125cc,Honda,2 Stroke,,,
Honda 250cc 2 Stroke CRF Dirt Bike (DB-0030),Well-Maintained Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6868.28,https://picsum.photos/seed/mg30/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
Honda 125cc 2 Stroke YZ Dirt Bike (DB-0031),Track-Prepped Honda 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3340.09,https://picsum.photos/seed/mg31/800/800,Dirt Bikes,125cc,Honda,2 Stroke,,,
KTM 125cc 4 Stroke YZ Dirt Bike (DB-0032),Trail-Tuned KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5157.78,https://picsum.photos/seed/mg32/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
Honda 125cc 2 Stroke SX Dirt Bike (DB-0033),Lightweight Honda 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3496.87,https://picsum.photos/seed/mg33/800/800,Dirt Bikes,125cc,Honda,2 Stroke,,,
KTM 250cc 2 Stroke TC Dirt Bike (DB-0034),Race-Ready KTM 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3486.82,https://picsum.photos/seed/mg34/800/800,Dirt Bikes,250cc,KTM,2 Stroke,,,
KTM 125cc 4 Stroke TE Dirt Bike (DB-0035),Agile KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5037.04,https://picsum.photos/seed/mg35/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
Honda 250cc 2 Stroke RM Dirt Bike (DB-0036),Lightweight Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,8311.26,https://picsum.photos/seed/mg36/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
KTM 125cc 2 Stroke CRF Dirt Bike (DB-0037),Track-Prepped KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5516.10,https://picsum.photos/seed/mg37/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
Honda 125cc 2 Stroke EXC Dirt Bike (DB-0038),Trail-Tuned Honda 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6069.21,https://picsum.photos/seed/mg38/800/800,Dirt Bikes,125cc,Honda,2 Stroke,,,
KTM 125cc 2 Stroke YZ Dirt Bike (DB-0039),Race-Ready KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6215.29,https://picsum.photos/seed/mg39/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 250cc 4 Stroke YZ Dirt Bike (DB-0040),Powerful KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3931.12,https://picsum.photos/seed/mg40/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
Honda 250cc 4 Stroke TE Dirt Bike (DB-0041),Powerful Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,8073.11,https://picsum.photos/seed/mg41/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
Honda 125cc 4 Stroke SX Dirt Bike (DB-0042),Trail-Tuned Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5724.81,https://picsum.photos/seed/mg42/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
Honda 250cc 4 Stroke SX Dirt Bike (DB-0043),Lightweight Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4716.16,https://picsum.photos/seed/mg43/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
KTM 125cc 4 Stroke CRF Dirt Bike (DB-0044),Agile KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,8089.54,https://picsum.photos/seed/mg44/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
Honda 125cc 4 Stroke SX Dirt Bike (DB-0045),Trail-Tuned Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6953.50,https://picsum.photos/seed/mg45/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
KTM 125cc 4 Stroke YZ Dirt Bike (DB-0046),Powerful KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3720.58,https://picsum.photos/seed/mg46/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
KTM 250cc 4 Stroke CRF Dirt Bike (DB-0047),Trail-Tuned KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6304.71,https://picsum.photos/seed/mg47/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
Honda 250cc 2 Stroke KX Dirt Bike (DB-0048),Freshly-Serviced Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6321.68,https://picsum.photos/seed/mg48/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
Honda 250cc 4 Stroke TC Dirt Bike (DB-0049),Race-Ready Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3170.24,https://picsum.photos/seed/mg49/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
Honda 125cc 4 Stroke EXC Dirt Bike (DB-0050),Well-Maintained Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3263.67,https://picsum.photos/seed/mg50/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
KTM 250cc 2 Stroke KX Dirt Bike (DB-0051),Lightweight KTM 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6591.40,https://picsum.photos/seed/mg51/800/800,Dirt Bikes,250cc,KTM,2 Stroke,,,
KTM 125cc 4 Stroke EXC Dirt Bike (DB-0052),Lightweight KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7686.63,https://picsum.photos/seed/mg52/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
KTM 125cc 2 Stroke EXC Dirt Bike (DB-0053),Powerful KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7193.32,https://picsum.photos/seed/mg53/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
Honda 250cc 4 Stroke EXC Dirt Bike (DB-0054),Trail-Tuned Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4794.25,https://picsum.photos/seed/mg54/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
KTM 125cc 2 Stroke YZ Dirt Bike (DB-0055),Track-Prepped KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4596.95,https://picsum.photos/seed/mg55/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
Honda 125cc 2 Stroke YZ Dirt Bike (DB-0056),Well-Maintained Honda 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4468.57,https://picsum.photos/seed/mg56/800/800,Dirt Bikes,125cc,Honda,2 Stroke,,,
KTM 125cc 4 Stroke TC Dirt Bike (DB-0057),Powerful KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,8134.42,https://picsum.photos/seed/mg57/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
KTM 125cc 2 Stroke RM Dirt Bike (DB-0058),Race-Ready KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3149.42,https://picsum.photos/seed/mg58/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 250cc 4 Stroke TC Dirt Bike (DB-0059),Trail-Tuned KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4810.17,https://picsum.photos/seed/mg59/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
KTM 125cc 2 Stroke TC Dirt Bike (DB-0060),Race-Ready KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5618.52,https://picsum.photos/seed/mg60/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 125cc 4 Stroke SX Dirt Bike (DB-0061),Powerful KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6237.93,https://picsum.photos/seed/mg61/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
KTM 125cc 4 Stroke TC Dirt Bike (DB-0062),Powerful KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4913.40,https://picsum.photos/seed/mg62/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
Honda 250cc 2 Stroke TC Dirt Bike (DB-0063),Well-Maintained Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6562.91,https://picsum.photos/seed/mg63/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
KTM 125cc 4 Stroke CRF Dirt Bike (DB-0064),Agile KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4220.48,https://picsum.photos/seed/mg64/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
KTM 250cc 4 Stroke TE Dirt Bike (DB-0065),Track-Prepped KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6552.76,https://picsum.photos/seed/mg65/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
Honda 250cc 2 Stroke RM Dirt Bike (DB-0066),Powerful Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3059.32,https://picsum.photos/seed/mg66/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
KTM 125cc 2 Stroke YZ Dirt Bike (DB-0067),Freshly-Serviced KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,2645.55,https://picsum.photos/seed/mg67/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 125cc 2 Stroke TE Dirt Bike (DB-0068),Well-Maintained KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7815.82,https://picsum.photos/seed/mg68/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 125cc 4 Stroke TC Dirt Bike (DB-0069),Lightweight KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3384.43,https://picsum.photos/seed/mg69/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
Honda 125cc 4 Stroke YZ Dirt Bike (DB-0070),Freshly-Serviced Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7323.66,https://picsum.photos/seed/mg70/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
Honda 250cc 2 Stroke SX Dirt Bike (DB-0071),Track-Prepped Honda 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3299.03,https://picsum.photos/seed/mg71/800/800,Dirt Bikes,250cc,Honda,2 Stroke,,,
KTM 250cc 4 Stroke TC Dirt Bike (DB-0072),Track-Prepped KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7882.25,https://picsum.photos/seed/mg72/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
KTM 250cc 4 Stroke YZ Dirt Bike (DB-0073),Agile KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7093.88,https://picsum.photos/seed/mg73/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
Honda 250cc 4 Stroke TE Dirt Bike (DB-0074),Trail-Tuned Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6780.27,https://picsum.photos/seed/mg74/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
KTM 125cc 4 Stroke KX Dirt Bike (DB-0075),Trail-Tuned KTM 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3329.24,https://picsum.photos/seed/mg75/800/800,Dirt Bikes,125cc,KTM,4 Stroke,,,
KTM 125cc 2 Stroke YZ Dirt Bike (DB-0076),Trail-Tuned KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4988.21,https://picsum.photos/seed/mg76/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
KTM 250cc 4 Stroke CRF Dirt Bike (DB-0077),Lightweight KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7496.35,https://picsum.photos/seed/mg77/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
Honda 250cc 4 Stroke TE Dirt Bike (DB-0078),Race-Ready Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,8155.45,https://picsum.photos/seed/mg78/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
KTM 250cc 4 Stroke YZ Dirt Bike (DB-0079),Track-Prepped KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3815.53,https://picsum.photos/seed/mg79/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
KTM 250cc 2 Stroke TC Dirt Bike (DB-0080),Powerful KTM 250cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,6512.24,https://picsum.photos/seed/mg80/800/800,Dirt Bikes,250cc,KTM,2 Stroke,,,
Honda 250cc 4 Stroke EXC Dirt Bike (DB-0081),Race-Ready Honda 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7940.57,https://picsum.photos/seed/mg81/800/800,Dirt Bikes,250cc,Honda,4 Stroke,,,
Honda 125cc 4 Stroke EXC Dirt Bike (DB-0082),Track-Prepped Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3589.37,https://picsum.photos/seed/mg82/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
KTM 250cc 4 Stroke YZ Dirt Bike (DB-0083),Track-Prepped KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,4460.07,https://picsum.photos/seed/mg83/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
KTM 250cc 4 Stroke RM Dirt Bike (DB-0084),Trail-Tuned KTM 250cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,5320.84,https://picsum.photos/seed/mg84/800/800,Dirt Bikes,250cc,KTM,4 Stroke,,,
KTM 125cc 2 Stroke SX Dirt Bike (DB-0085),Race-Ready KTM 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,7024.40,https://picsum.photos/seed/mg85/800/800,Dirt Bikes,125cc,KTM,2 Stroke,,,
Honda 125cc 2 Stroke EXC Dirt Bike (DB-0086),Lightweight Honda 125cc 2 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3256.33,https://picsum.photos/seed/mg86/800/800,Dirt Bikes,125cc,Honda,2 Stroke,,,
Honda 125cc 4 Stroke RM Dirt Bike (DB-0087),Powerful Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,3505.73,https://picsum.photos/seed/mg87/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
Honda 125cc 4 Stroke SX Dirt Bike (DB-0088),Race-Ready Honda 125cc 4 Stroke motocross dirt bike. Ideal for practice days and weekend racing. Dummy data for testing.,8072.32,https://picsum.photos/seed/mg88/800/800,Dirt Bikes,125cc,Honda,4 Stroke,,,
Fox Racing Ventilated Helmet - Size L (HL-0001),Ventilated motocross helmet by Fox Racing in size L. Comfortable fit with solid airflow. Dummy data for testing.,475.99,https://picsum.photos/seed/mg89/800/800,Helmets,,,,L,Fox Racing,Male
100% Lightweight Helmet - Size S (HL-0002),Lightweight motocross helmet by 100% in size S. Comfortable fit with solid airflow. Dummy data for testing.,373.14,https://picsum.photos/seed/mg90/800/800,Helmets,,,,S,100%,Male
100% Full-Face Helmet - Size L (HL-0003),Full-Face motocross helmet by 100% in size L. Comfortable fit with solid airflow. Dummy data for testing.,375.84,https://picsum.photos/seed/mg91/800/800,Helmets,,,,L,100%,Male
100% Lightweight Helmet - Size M (HL-0004),Lightweight motocross helmet by 100% in size M. Comfortable fit with solid airflow. Dummy data for testing.,410.87,https://picsum.photos/seed/mg92/800/800,Helmets,,,,M,100%,Male
Fox Racing Race Helmet - Size M (HL-0005),Race motocross helmet by Fox Racing in size M. Comfortable fit with solid airflow. Dummy data for testing.,241.92,https://picsum.photos/seed/mg93/800/800,Helmets,,,,M,Fox Racing,Male
Fox Racing Full-Face Helmet - Size L (HL-0006),Full-Face motocross helmet by Fox Racing in size L. Comfortable fit with solid airflow. Dummy data for testing.,438.32,https://picsum.photos/seed/mg94/800/800,Helmets,,,,L,Fox Racing,Male
100% Ventilated Helmet - Size M (HL-0007),Ventilated motocross helmet by 100% in size M. Comfortable fit with solid airflow. Dummy data for testing.,483.91,https://picsum.photos/seed/mg95/800/800,Helmets,,,,M,100%,Male
Fox Racing Race Helmet - Size L (HL-0008),Race motocross helmet by Fox Racing in size L. Comfortable fit with solid airflow. Dummy data for testing.,152.72,https://picsum.photos/seed/mg96/800/800,Helmets,,,,L,Fox Racing,Male
Fox Racing Lightweight Helmet - Size S (HL-0009),Lightweight motocross helmet by Fox Racing in size S. Comfortable fit with solid airflow. Dummy data for testing.,421.35,https://picsum.photos/seed/mg97/800/800,Helmets,,,,S,Fox Racing,Male
Fox Racing Ventilated Helmet - Size L (HL-0010),Ventilated motocross helmet by Fox Racing in size L. Comfortable fit with solid airflow. Dummy data for testing.,268.58,https://picsum.photos/seed/mg98/800/800,Helmets,,,,L,Fox Racing,Male
Fox Racing Off-Road Helmet - Size L (HL-0011),Off-Road motocross helmet by Fox Racing in size L. Comfortable fit with solid airflow. Dummy data for testing.,439.19,https://picsum.photos/seed/mg99/800/800,Helmets,,,,L,Fox Racing,Male
Fox Racing Ventilated Helmet - Size S (HL-0012),Ventilated motocross helmet by Fox Racing in size S. Comfortable fit with solid airflow. Dummy data for testing.,189.97,https://picsum.photos/seed/mg100/800/800,Helmets,,,,S,Fox Racing,Male
Fox Racing Off-Road Helmet - Size M (HL-0013),Off-Road motocross helmet by Fox Racing in size M. Comfortable fit with solid airflow. Dummy data for testing.,101.76,https://picsum.photos/seed/mg101/800/800,Helmets,,,,M,Fox Racing,Male
100% Ventilated Helmet - Size M (HL-0014),Ventilated motocross helmet by 100% in size M. Comfortable fit with solid airflow. Dummy data for testing.,176.96,https://picsum.photos/seed/mg102/800/800,Helmets,,,,M,100%,Male
Fox Racing Off-Road Helmet - Size M (HL-0015),Off-Road motocross helmet by Fox Racing in size M. Comfortable fit with solid airflow. Dummy data for testing.,450.92,https://picsum.photos/seed/mg103/800/800,Helmets,,,,M,Fox Racing,Male
Fox Racing Lightweight Helmet - Size L (HL-0016),Lightweight motocross helmet by Fox Racing in size L. Comfortable fit with solid airflow. Dummy data for testing.,94.15,https://picsum.photos/seed/mg104/800/800,Helmets,,,,L,Fox Racing,Male
100% MX Helmet - Size S (HL-0017),MX motocross helmet by 100% in size S. Comfortable fit with solid airflow. Dummy data for testing.,385.22,https://picsum.photos/seed/mg105/800/800,Helmets,,,,S,100%,Male
